"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0099177","regulation of trans-synaptic signaling",224,55,27.7456237536007,1.98229459493994,3.07763664553207e-07,0.000164272947021593,"18;29;348;760;1268;1759;2185;2534;2771;2914;2932;4130;4137;4355;4776;5327;5530;5594;5621;5864;6376;6622;6623;6714;6770;6812;8029;8541;8775;8831;8938;9066;9254;9294;9610;9746;9783;10458;11188;11346;23373;23542;25837;25953;26012;50944;54413;54434;57406;57555;65018;84446;84961;112476;116841","ENSG00000143740;ENSG00000183044;ENSG00000114353;ENSG00000130203;ENSG00000139182;ENSG00000159842;ENSG00000127838;ENSG00000167371;ENSG00000100968;ENSG00000145335;ENSG00000169992;ENSG00000175866;ENSG00000177380;ENSG00000105402;ENSG00000267534;ENSG00000008735;ENSG00000082701;ENSG00000104267;ENSG00000158828;ENSG00000186868;ENSG00000007402;ENSG00000106976;ENSG00000117016;ENSG00000163686;ENSG00000108852;ENSG00000105649;ENSG00000167964;ENSG00000160469;ENSG00000171867;ENSG00000007516;ENSG00000011347;ENSG00000104368;ENSG00000118432;ENSG00000173267;ENSG00000174791;ENSG00000006210;ENSG00000108306;ENSG00000171992;ENSG00000100030;ENSG00000197122;ENSG00000124493;ENSG00000138814;ENSG00000196338;ENSG00000010322;ENSG00000105662;ENSG00000107611;ENSG00000120899;ENSG00000147465;ENSG00000165802;ENSG00000166963;ENSG00000010810;ENSG00000084112;ENSG00000136854;ENSG00000161681;ENSG00000197283","geneontology_Biological_Process_noRedundant"
"GO:0001525","angiogenesis",266,62,32.9479282074008,1.88175716572289,3.99205217549436e-07,0.000164272947021593,"90;101;187;388;718;727;958;1386;1464;1893;1942;1944;1960;2034;2050;2185;3099;3164;3339;3678;3716;3725;4215;4303;4327;4776;4851;5333;5371;5587;6376;6464;6786;6899;7075;7127;7128;7410;7422;7453;8751;8877;10014;10411;22905;23129;23210;23462;23670;25865;29775;54567;54922;64094;64344;64855;79924;81575;90993;116844;219699;375056","ENSG00000167323;ENSG00000154305;ENSG00000160691;ENSG00000105287;ENSG00000124440;ENSG00000162434;ENSG00000100968;ENSG00000135048;ENSG00000140105;ENSG00000184058;ENSG00000196411;ENSG00000198909;ENSG00000112562;ENSG00000159399;ENSG00000123358;ENSG00000128165;ENSG00000128917;ENSG00000143537;ENSG00000187091;ENSG00000101017;ENSG00000148400;ENSG00000106804;ENSG00000134817;ENSG00000004399;ENSG00000066056;ENSG00000105538;ENSG00000116016;ENSG00000123342;ENSG00000143369;ENSG00000169242;ENSG00000173546;ENSG00000178878;ENSG00000184481;ENSG00000006210;ENSG00000143590;ENSG00000184304;ENSG00000072134;ENSG00000179388;ENSG00000140464;ENSG00000171236;ENSG00000115966;ENSG00000151651;ENSG00000157613;ENSG00000177606;ENSG00000070495;ENSG00000112715;ENSG00000115170;ENSG00000120899;ENSG00000125730;ENSG00000136830;ENSG00000143878;ENSG00000161638;ENSG00000100065;ENSG00000118503;ENSG00000160293;ENSG00000164683;ENSG00000079337;ENSG00000107731;ENSG00000108840;ENSG00000176170;ENSG00000185215;ENSG00000142798","geneontology_Biological_Process_noRedundant"
"GO:0055067","monovalent inorganic cation homeostasis",63,23,7.8034566807002,2.94741176136525,7.55526272322449e-07,0.000191554320708637,"478;535;537;596;760;1312;2771;3757;4097;5164;5594;6553;6560;7879;8992;9114;9498;10312;10479;55647;56996;65010;154881","ENSG00000093010;ENSG00000114353;ENSG00000135740;ENSG00000171791;ENSG00000075785;ENSG00000105409;ENSG00000139832;ENSG00000050438;ENSG00000104267;ENSG00000146828;ENSG00000055118;ENSG00000110719;ENSG00000243335;ENSG00000124067;ENSG00000159720;ENSG00000005882;ENSG00000071553;ENSG00000100030;ENSG00000033627;ENSG00000225697;ENSG00000113732;ENSG00000198689;ENSG00000197063","geneontology_Biological_Process_noRedundant"
"GO:1901342","regulation of vasculature development",164,43,20.3137602481719,2.11679174484053,9.31005203930191e-07,0.000191554320708637,"187;388;718;727;958;1386;1893;1942;1944;2185;3099;3339;3678;3716;4215;4303;4772;4775;4851;5155;5371;5587;6376;6786;7075;7128;7422;7453;8877;10014;10411;22905;23129;23462;23670;25865;29775;54567;64094;64855;79924;90993;116844","ENSG00000167323;ENSG00000105287;ENSG00000162434;ENSG00000135048;ENSG00000140105;ENSG00000198909;ENSG00000112562;ENSG00000131196;ENSG00000159399;ENSG00000072736;ENSG00000128165;ENSG00000128917;ENSG00000101017;ENSG00000148400;ENSG00000106804;ENSG00000134817;ENSG00000004399;ENSG00000066056;ENSG00000100311;ENSG00000143369;ENSG00000169242;ENSG00000184481;ENSG00000006210;ENSG00000143590;ENSG00000184304;ENSG00000072134;ENSG00000140464;ENSG00000171236;ENSG00000115966;ENSG00000157613;ENSG00000112715;ENSG00000120899;ENSG00000125730;ENSG00000136830;ENSG00000143878;ENSG00000161638;ENSG00000100065;ENSG00000118503;ENSG00000164683;ENSG00000079337;ENSG00000108840;ENSG00000176170;ENSG00000142798","geneontology_Biological_Process_noRedundant"
"GO:0042391","regulation of membrane potential",196,48,24.2774207844006,1.97714577781023,1.88446904392237e-06,0.000271029092307307,"18;274;478;596;664;665;1140;1268;2185;2273;2550;2932;3725;3757;4137;4355;5026;5530;6324;6329;6335;6622;6640;6714;8326;9294;9424;9780;9783;10458;11060;23373;23542;30819;50944;54413;54434;54795;57030;57555;57657;65010;65018;79784;80024;84275;154881;388591","ENSG00000158286;ENSG00000183044;ENSG00000007314;ENSG00000136717;ENSG00000176171;ENSG00000105711;ENSG00000145335;ENSG00000169992;ENSG00000171791;ENSG00000175866;ENSG00000105409;ENSG00000267534;ENSG00000008735;ENSG00000022267;ENSG00000082701;ENSG00000158828;ENSG00000186868;ENSG00000055118;ENSG00000083454;ENSG00000117016;ENSG00000120049;ENSG00000243335;ENSG00000099337;ENSG00000108852;ENSG00000130529;ENSG00000171612;ENSG00000188763;ENSG00000101400;ENSG00000104765;ENSG00000143630;ENSG00000198373;ENSG00000103335;ENSG00000118432;ENSG00000170175;ENSG00000169432;ENSG00000105357;ENSG00000197122;ENSG00000204681;ENSG00000138814;ENSG00000177606;ENSG00000196338;ENSG00000105662;ENSG00000120899;ENSG00000225697;ENSG00000084112;ENSG00000104888;ENSG00000089060;ENSG00000161681","geneontology_Biological_Process_noRedundant"
"GO:0061564","axon development",296,65,36.6638599601152,1.77286297925833,1.97591075801196e-06,0.000271029092307307,"348;596;780;1268;1382;1400;1796;1942;1944;1945;1947;2348;2534;2664;2817;2886;2932;3725;3800;3897;4130;4131;4137;4756;4851;4902;5361;5594;5727;5792;5864;6324;6464;6714;6812;7074;7408;7422;7869;8408;8578;8660;8831;9260;10417;10458;10479;10500;10501;23129;23162;23654;30011;54413;54434;55715;57688;57715;57731;64855;65078;79006;84446;150465;219699","ENSG00000095539;ENSG00000040608;ENSG00000114554;ENSG00000130203;ENSG00000160691;ENSG00000171119;ENSG00000105711;ENSG00000160460;ENSG00000171791;ENSG00000175866;ENSG00000147010;ENSG00000082701;ENSG00000114999;ENSG00000115325;ENSG00000125170;ENSG00000185950;ENSG00000186868;ENSG00000143434;ENSG00000103260;ENSG00000105649;ENSG00000167680;ENSG00000148400;ENSG00000160469;ENSG00000063660;ENSG00000204580;ENSG00000004399;ENSG00000012171;ENSG00000074660;ENSG00000118432;ENSG00000131711;ENSG00000141738;ENSG00000159674;ENSG00000169242;ENSG00000198910;ENSG00000168280;ENSG00000143590;ENSG00000110195;ENSG00000243364;ENSG00000067141;ENSG00000177169;ENSG00000100030;ENSG00000142949;ENSG00000197122;ENSG00000090776;ENSG00000156299;ENSG00000177606;ENSG00000196338;ENSG00000196923;ENSG00000072832;ENSG00000112715;ENSG00000136830;ENSG00000166963;ENSG00000010810;ENSG00000084112;ENSG00000136854;ENSG00000138834;ENSG00000196576;ENSG00000107731;ENSG00000125753;ENSG00000143320;ENSG00000185920;ENSG00000197283;ENSG00000198689;ENSG00000203879;ENSG00000130449","geneontology_Biological_Process_noRedundant"
"GO:0040013","negative regulation of locomotion",178,43,22.047861732772,1.95030250648228,9.3132063359036e-06,0.00109496697349267,"29;348;388;397;596;727;1652;1843;2796;4851;5371;5467;6376;7075;7076;7869;8646;8751;8976;9747;10014;10221;10500;10501;11188;23380;29775;54567;57406;57561;57715;57826;65009;81559;81603;83481;85363;90355;138429;286205;374969;375056;100532736","ENSG00000171206;ENSG00000095539;ENSG00000177868;ENSG00000130203;ENSG00000154305;ENSG00000159842;ENSG00000123728;ENSG00000173611;ENSG00000167103;ENSG00000171791;ENSG00000154370;ENSG00000173334;ENSG00000198420;ENSG00000103034;ENSG00000143434;ENSG00000163686;ENSG00000181751;ENSG00000128917;ENSG00000143537;ENSG00000167680;ENSG00000106299;ENSG00000148400;ENSG00000106804;ENSG00000012171;ENSG00000066056;ENSG00000102265;ENSG00000006210;ENSG00000132256;ENSG00000261150;ENSG00000266028;ENSG00000090539;ENSG00000140464;ENSG00000158747;ENSG00000010322;ENSG00000099977;ENSG00000112033;ENSG00000113369;ENSG00000120129;ENSG00000143878;ENSG00000147437;ENSG00000100065;ENSG00000111348;ENSG00000108840","geneontology_Biological_Process_noRedundant"
"GO:0097485","neuron projection guidance",141,36,17.4648792377576,2.06127964069577,1.34841703056665e-05,0.00128817870246414,"1400;1796;1942;1944;1945;1947;2534;2817;2886;3800;3897;4756;4902;5361;5594;5727;6324;6464;6714;7408;7422;7869;8660;9260;10417;10500;10501;23129;23654;30011;55715;57688;57715;57731;64855;219699","ENSG00000095539;ENSG00000114554;ENSG00000160691;ENSG00000171119;ENSG00000105711;ENSG00000160460;ENSG00000147010;ENSG00000115325;ENSG00000125170;ENSG00000185950;ENSG00000143434;ENSG00000167680;ENSG00000063660;ENSG00000004399;ENSG00000012171;ENSG00000141738;ENSG00000159674;ENSG00000169242;ENSG00000198910;ENSG00000168280;ENSG00000143590;ENSG00000243364;ENSG00000067141;ENSG00000100030;ENSG00000197122;ENSG00000090776;ENSG00000196923;ENSG00000072832;ENSG00000112715;ENSG00000136830;ENSG00000010810;ENSG00000196576;ENSG00000107731;ENSG00000125753;ENSG00000185920;ENSG00000130449","geneontology_Biological_Process_noRedundant"
"GO:0032102","negative regulation of response to external stimulus",158,39,19.5705738976291,1.9927877539005,1.40870088969347e-05,0.00128817870246414,"18;29;54;113;348;384;710;727;1026;1652;1843;4851;4925;5155;5327;5465;5467;5580;6376;7035;7128;7132;7133;7869;8780;10221;10500;10501;25959;53833;57680;57715;59307;65078;79132;83481;90355;284207;100532736","ENSG00000070081;ENSG00000163932;ENSG00000095539;ENSG00000183044;ENSG00000040608;ENSG00000130203;ENSG00000159842;ENSG00000081181;ENSG00000149131;ENSG00000186951;ENSG00000028137;ENSG00000100888;ENSG00000173334;ENSG00000143434;ENSG00000108771;ENSG00000181751;ENSG00000121281;ENSG00000167680;ENSG00000148400;ENSG00000106804;ENSG00000104368;ENSG00000174564;ENSG00000003436;ENSG00000012171;ENSG00000100311;ENSG00000102575;ENSG00000006210;ENSG00000261150;ENSG00000158747;ENSG00000067182;ENSG00000099977;ENSG00000112033;ENSG00000120129;ENSG00000197256;ENSG00000101782;ENSG00000118503;ENSG00000124762;ENSG00000185187;ENSG00000176845","geneontology_Biological_Process_noRedundant"
"GO:1901615","organic hydroxy compound metabolic process",296,62,36.6638599601152,1.69103853406179,1.66914942005825e-05,0.00137370997270794,"18;217;348;596;1119;1181;1312;1428;1609;1646;1652;2034;2053;2055;2184;2185;2194;2539;2643;2784;3069;3249;3628;3632;3636;3638;3931;4047;4128;4142;4864;5153;5331;5333;5409;5467;5805;6256;6622;6770;6817;7108;8029;8578;8867;8877;9885;10577;10826;25953;51422;51706;55331;55902;79947;80270;114879;114881;136319;197257;340485;445329","ENSG00000115677;ENSG00000093010;ENSG00000183044;ENSG00000111275;ENSG00000130203;ENSG00000131069;ENSG00000177076;ENSG00000103316;ENSG00000103876;ENSG00000127838;ENSG00000186480;ENSG00000111664;ENSG00000145335;ENSG00000149809;ENSG00000166816;ENSG00000171791;ENSG00000189221;ENSG00000110721;ENSG00000131979;ENSG00000145214;ENSG00000196502;ENSG00000078124;ENSG00000106617;ENSG00000117682;ENSG00000120915;ENSG00000149782;ENSG00000160285;ENSG00000165458;ENSG00000169710;ENSG00000182372;ENSG00000105707;ENSG00000151632;ENSG00000170271;ENSG00000187091;ENSG00000021762;ENSG00000105887;ENSG00000186350;ENSG00000074660;ENSG00000116016;ENSG00000130368;ENSG00000151689;ENSG00000141744;ENSG00000114859;ENSG00000159348;ENSG00000213398;ENSG00000099377;ENSG00000006025;ENSG00000099977;ENSG00000107611;ENSG00000112033;ENSG00000119655;ENSG00000120899;ENSG00000123360;ENSG00000141458;ENSG00000147465;ENSG00000150787;ENSG00000160211;ENSG00000213648;ENSG00000068383;ENSG00000130703;ENSG00000176170;ENSG00000159082","geneontology_Biological_Process_noRedundant"
