"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0002697","regulation of immune effector process",184,40,21.2752781809386,1.88011642714208,4.97160521356621e-05,0.0406677306469716,"29;136;164;604;718;961;1380;1398;2624;2889;3098;3689;4092;4602;5272;5585;5595;5817;5880;6397;6813;6895;7009;7037;7128;7133;7158;8780;9341;9984;10084;10417;10892;11221;23529;25942;51561;63906;84695;440275","ENSG00000159842;ENSG00000110944;ENSG00000143507;ENSG00000170542;ENSG00000118503;ENSG00000118513;ENSG00000101665;ENSG00000102103;ENSG00000028137;ENSG00000175505;ENSG00000107263;ENSG00000072274;ENSG00000073008;ENSG00000172175;ENSG00000166747;ENSG00000196776;ENSG00000125730;ENSG00000079134;ENSG00000113916;ENSG00000156515;ENSG00000049245;ENSG00000198746;ENSG00000159674;ENSG00000128829;ENSG00000115318;ENSG00000170425;ENSG00000129657;ENSG00000117322;ENSG00000169375;ENSG00000067369;ENSG00000139546;ENSG00000101782;ENSG00000160255;ENSG00000123143;ENSG00000128340;ENSG00000179348;ENSG00000102882;ENSG00000167193;ENSG00000076944;ENSG00000139644","geneontology_Biological_Process_noRedundant"
"GO:0046530","photoreceptor cell differentiation",23,10,2.65940977261732,3.76023285428415,0.000113139754182146,0.045893309383617,"403;585;639;1745;1746;5584;7422;23287;54806;80184","ENSG00000163558;ENSG00000138175;ENSG00000135049;ENSG00000144355;ENSG00000057657;ENSG00000135541;ENSG00000112715;ENSG00000115844;ENSG00000198707;ENSG00000140463","geneontology_Biological_Process_noRedundant"
"GO:1903706","regulation of hemopoiesis",242,47,27.9816158684083,1.67967426259553,0.000212194555125444,0.045893309383617,"91;101;604;639;841;861;864;1051;1387;1435;1960;2113;2353;2624;3280;3659;3674;3692;4092;4208;4602;4778;5588;5896;7030;7161;8651;8850;9580;10193;10401;10766;10892;11221;23112;25893;25942;27086;29843;51561;51621;55904;57178;64783;84695;140685;161882","ENSG00000166349;ENSG00000123405;ENSG00000020633;ENSG00000078900;ENSG00000065675;ENSG00000110944;ENSG00000179388;ENSG00000162722;ENSG00000143507;ENSG00000114166;ENSG00000184371;ENSG00000159216;ENSG00000118513;ENSG00000101665;ENSG00000170345;ENSG00000100354;ENSG00000185338;ENSG00000151651;ENSG00000005483;ENSG00000108175;ENSG00000172175;ENSG00000131788;ENSG00000125347;ENSG00000130584;ENSG00000114315;ENSG00000005339;ENSG00000135503;ENSG00000242372;ENSG00000113916;ENSG00000169926;ENSG00000134954;ENSG00000181852;ENSG00000079387;ENSG00000115318;ENSG00000068323;ENSG00000057657;ENSG00000162775;ENSG00000081189;ENSG00000064012;ENSG00000143842;ENSG00000169375;ENSG00000005961;ENSG00000172216;ENSG00000114861;ENSG00000179588;ENSG00000179348;ENSG00000183864","geneontology_Biological_Process_noRedundant"
"GO:0002694","regulation of leukocyte activation",237,46,27.4034833091437,1.67861871722896,0.000250693356779186,0.045893309383617,"29;101;136;164;604;639;861;864;961;1051;1947;1960;2624;3280;3659;3689;4092;4208;4602;5585;5588;5880;5896;6813;7037;7128;7133;7158;7525;8651;8660;9341;9580;9867;9984;10062;10193;10892;11221;23529;23729;51561;57178;57181;84695;114609","ENSG00000166349;ENSG00000020633;ENSG00000159842;ENSG00000065675;ENSG00000110944;ENSG00000179388;ENSG00000176105;ENSG00000143507;ENSG00000159216;ENSG00000118503;ENSG00000118513;ENSG00000101665;ENSG00000198961;ENSG00000028137;ENSG00000175505;ENSG00000185338;ENSG00000151651;ENSG00000196950;ENSG00000090776;ENSG00000072274;ENSG00000108175;ENSG00000172175;ENSG00000166747;ENSG00000185950;ENSG00000196776;ENSG00000125347;ENSG00000114315;ENSG00000079134;ENSG00000113916;ENSG00000181852;ENSG00000049245;ENSG00000150455;ENSG00000115318;ENSG00000170425;ENSG00000057657;ENSG00000081189;ENSG00000143842;ENSG00000067369;ENSG00000197417;ENSG00000160255;ENSG00000123143;ENSG00000172216;ENSG00000128340;ENSG00000025434;ENSG00000179348;ENSG00000076944","geneontology_Biological_Process_noRedundant"
"GO:0051348","negative regulation of transferase activity",192,39,22.200290275762,1.75673378661088,0.000280521451000104,0.045893309383617,"103;399;1026;1032;1647;1843;1846;1849;2048;2810;4092;4298;4616;5515;5585;5770;5997;6895;7026;7128;8651;8660;8850;9021;9349;9961;10935;11142;11221;11315;11329;51422;57732;64754;64793;79643;80279;142679;200734","ENSG00000013364;ENSG00000143507;ENSG00000114166;ENSG00000116717;ENSG00000116288;ENSG00000160710;ENSG00000118503;ENSG00000168734;ENSG00000125691;ENSG00000185551;ENSG00000175793;ENSG00000101665;ENSG00000185420;ENSG00000133216;ENSG00000120129;ENSG00000106617;ENSG00000185338;ENSG00000116741;ENSG00000168421;ENSG00000130382;ENSG00000164086;ENSG00000185950;ENSG00000099860;ENSG00000112079;ENSG00000113575;ENSG00000198369;ENSG00000165672;ENSG00000159733;ENSG00000196396;ENSG00000184557;ENSG00000120875;ENSG00000130695;ENSG00000139546;ENSG00000123143;ENSG00000162999;ENSG00000176108;ENSG00000124762;ENSG00000108465;ENSG00000129355","geneontology_Biological_Process_noRedundant"
"GO:0031349","positive regulation of defense response",201,38,23.2409288824383,1.63504652469868,0.00140171034475833,0.16513440534518,"101;136;164;718;841;961;1051;1387;2113;3385;3654;3656;3659;3689;4208;5138;5595;5802;5817;6397;7128;8780;9261;9867;10062;10084;10211;10318;10892;11315;23097;25942;51561;63906;90678;92610;114609;118788","ENSG00000110944;ENSG00000116288;ENSG00000118503;ENSG00000155629;ENSG00000145365;ENSG00000198961;ENSG00000102103;ENSG00000151651;ENSG00000137312;ENSG00000073008;ENSG00000172175;ENSG00000166747;ENSG00000196776;ENSG00000125347;ENSG00000162889;ENSG00000005339;ENSG00000125730;ENSG00000155111;ENSG00000134954;ENSG00000076662;ENSG00000198746;ENSG00000150455;ENSG00000105426;ENSG00000170425;ENSG00000129657;ENSG00000145901;ENSG00000081189;ENSG00000064012;ENSG00000169375;ENSG00000101782;ENSG00000148356;ENSG00000186642;ENSG00000134070;ENSG00000160255;ENSG00000184216;ENSG00000172216;ENSG00000025434;ENSG00000102882","geneontology_Biological_Process_noRedundant"
"GO:0007159","leukocyte cell-cell adhesion",155,31,17.9221093372037,1.72970711297071,0.00148786755046171,0.16513440534518,"101;604;861;864;960;961;1051;1947;1960;2113;3280;3383;3654;3659;3678;3689;4092;4602;5588;5880;5896;7037;7525;8651;10318;10892;11221;51561;57178;84695;375056","ENSG00000166349;ENSG00000020633;ENSG00000065675;ENSG00000110944;ENSG00000179388;ENSG00000176105;ENSG00000143507;ENSG00000159216;ENSG00000118513;ENSG00000101665;ENSG00000185338;ENSG00000151651;ENSG00000090776;ENSG00000072274;ENSG00000108175;ENSG00000172175;ENSG00000196776;ENSG00000125347;ENSG00000114315;ENSG00000113916;ENSG00000134954;ENSG00000026508;ENSG00000161638;ENSG00000115318;ENSG00000145901;ENSG00000160255;ENSG00000184216;ENSG00000172216;ENSG00000128340;ENSG00000154305;ENSG00000090339","geneontology_Biological_Process_noRedundant"
"GO:0044706","multi-multicellular organism process",105,23,12.1407837445573,1.89444112372983,0.00171249997500289,0.16513440534518,"91;406;639;811;824;2113;2182;2353;2354;2683;3074;3248;3675;3678;3726;5021;5997;7026;7351;8614;10935;55585;56848","ENSG00000180914;ENSG00000063176;ENSG00000185551;ENSG00000170345;ENSG00000086062;ENSG00000116741;ENSG00000171223;ENSG00000175567;ENSG00000125740;ENSG00000135503;ENSG00000068366;ENSG00000165672;ENSG00000113739;ENSG00000134954;ENSG00000005884;ENSG00000049860;ENSG00000161638;ENSG00000057657;ENSG00000160714;ENSG00000162909;ENSG00000133794;ENSG00000179218;ENSG00000164120","geneontology_Biological_Process_noRedundant"
"GO:0030099","myeloid cell differentiation",247,44,28.559748427673,1.54062981722088,0.00212907818950703,0.16513440534518,"87;91;604;841;861;1051;1054;1387;1435;2113;2353;2624;3674;3692;3726;4208;4778;5588;7030;7037;7422;8444;8850;10193;10365;10401;10766;10935;22904;23112;25893;25942;25946;27086;28982;29843;51561;51621;55904;64783;84522;114609;140685;161882","ENSG00000123405;ENSG00000065675;ENSG00000110944;ENSG00000162722;ENSG00000114166;ENSG00000184371;ENSG00000159216;ENSG00000127528;ENSG00000170345;ENSG00000100354;ENSG00000171223;ENSG00000005483;ENSG00000072274;ENSG00000161642;ENSG00000131788;ENSG00000130584;ENSG00000005339;ENSG00000135503;ENSG00000165672;ENSG00000242372;ENSG00000113916;ENSG00000064932;ENSG00000169926;ENSG00000134954;ENSG00000181852;ENSG00000079387;ENSG00000150455;ENSG00000162769;ENSG00000068323;ENSG00000162775;ENSG00000081189;ENSG00000112715;ENSG00000153879;ENSG00000064012;ENSG00000169375;ENSG00000072110;ENSG00000005961;ENSG00000172216;ENSG00000114861;ENSG00000179588;ENSG00000143479;ENSG00000171135;ENSG00000179348;ENSG00000183864","geneontology_Biological_Process_noRedundant"
"GO:0045088","regulation of innate immune response",193,36,22.3159167876149,1.61319834370325,0.00235280171737906,0.16513440534518,"101;164;841;1387;1398;3385;3459;3460;3654;3656;3659;3689;5272;5770;5802;5817;6397;7128;8651;8780;9021;9261;9867;10062;10084;10211;10318;10892;11140;11221;25939;25942;63906;92610;114609;118788","ENSG00000143507;ENSG00000170542;ENSG00000118503;ENSG00000027697;ENSG00000105401;ENSG00000155629;ENSG00000145365;ENSG00000198961;ENSG00000101347;ENSG00000102103;ENSG00000185338;ENSG00000151651;ENSG00000137312;ENSG00000073008;ENSG00000172175;ENSG00000166747;ENSG00000125347;ENSG00000162889;ENSG00000005339;ENSG00000076662;ENSG00000198746;ENSG00000150455;ENSG00000105426;ENSG00000129657;ENSG00000145901;ENSG00000196396;ENSG00000184557;ENSG00000064012;ENSG00000169375;ENSG00000159128;ENSG00000101782;ENSG00000134070;ENSG00000160255;ENSG00000184216;ENSG00000025434;ENSG00000167193","geneontology_Biological_Process_noRedundant"
